title,content
"스프린트 목표 - 기본 회고 보드 흐름과 AI 기술 연결 방식 확인","Type: Sprint Goal
Size: -

이번 주 Sprint Goal:
개발자 회고/트러블슈팅 보드의 기본 작성-조회 흐름을 화면에서 실제로 사용해보고, RAG/MCP/Agent를 어떤 방식으로 붙일지 최소 실험 결과를 남긴다.

이번 주 끝났을 때 달라져 있어야 하는 것:
- 사용자가 로그인 후 회고/트러블슈팅 글을 작성하고 조회할 수 있다.
- 최소한의 목록/상세/작성 화면이 동작한다.
- RAG, MCP, Agent는 완성 기능이 아니라 Spike 결과로 다음 구현 방향이 정리되어 있다.
- 금요일 데모에서 기본 게시판 흐름과 AI 기능 연결 계획을 설명할 수 있다.

이번 주 비목표:
- RAG/MCP/Agent 전체 완성
- 커밋 기반 트러블슈팅 원인 추정
- 학습 블로그 초안 생성
- 관리자/알림/대시보드 기능"
"스프린트 운영 - GitHub Project 보드와 이슈 관리 기준 정리","Type: Chore
Size: S

Outcome:
이번 주 작업을 GitHub Issue와 Project에서 관리할 수 있도록 상태, 우선순위, 크기 기준을 정한다.

Tasks:
- GitHub Project 생성 또는 기존 Project 선택
- 상태 컬럼 정리: Backlog, Ready, In Progress, Review, Done
- 이슈 본문 템플릿 기준 정리
- Size 기준 정리: S/M/L/XL
- Spike 결과 기록 방식 정리

Definition of Done:
- 이번 주 이슈가 Project에 등록되어 있다.
- 각 이슈에 Size와 Type이 표시되어 있다.
- In Progress는 동시에 1~2개만 유지하는 원칙이 정리되어 있다."
"기술 결정 - 1주차 구현 스택과 로컬 실행 방식 확정","Type: Decision
Size: S

Outcome:
이번 주 구현을 시작할 수 있도록 프론트엔드, 백엔드, DB, AI 실험 방식의 1차 선택을 확정한다.

Tasks:
- 백엔드 후보 중 1개 선택: FastAPI / Next.js / NestJS / Spring Boot
- DB 후보 중 1개 선택: PostgreSQL / MariaDB / MySQL
- 프론트엔드 구성 선택: React 단독 또는 Next.js
- RAG 실험 후보 선택: pgvector / ChromaDB / 단순 키워드 검색 fallback
- MCP 실험 대상 확정: GitHub 커밋/PR/Issue 조회
- 결정 이유를 docs에 짧게 기록

Definition of Done:
- 선택한 스택과 이유가 문서에 기록되어 있다.
- 로컬 실행에 필요한 최소 명령과 환경변수 후보가 정리되어 있다.
- 미확정 항목은 Open Question으로 분리되어 있다."
"프로젝트 세팅 - 앱 골격과 로컬 실행 환경 만들기","Type: Feature
Size: M

Outcome:
프론트엔드와 백엔드가 로컬에서 실행되고, 기본 health check 또는 첫 화면을 확인할 수 있다.

Tasks:
- 프로젝트 디렉터리 구조 생성
- 프론트엔드 앱 부트스트랩
- 백엔드 앱 부트스트랩
- 환경변수 파일 예시 추가
- health check API 또는 기본 페이지 추가
- 로컬 실행 방법 문서화

Definition of Done:
- 로컬에서 프론트엔드가 실행된다.
- 로컬에서 백엔드가 실행된다.
- health check 또는 기본 페이지로 동작 확인이 가능하다.
- README 또는 docs에 실행 방법이 기록되어 있다."
"DB 기반 구성 - 데이터베이스 연결과 기본 모델 초안 작성","Type: Feature
Size: M

Outcome:
회고/트러블슈팅 글을 저장할 수 있는 DB 연결과 핵심 모델 초안이 준비된다.

Tasks:
- DB 연결 설정
- 마이그레이션 또는 스키마 관리 방식 선택
- User 모델 초안 작성
- ReflectionEntry 모델 초안 작성
- Tag 모델 초안 작성
- Comment 모델 초안 작성
- 로컬 seed 또는 테스트 데이터 방식 검토

Definition of Done:
- 백엔드에서 DB 연결이 성공한다.
- 핵심 테이블 또는 모델이 생성된다.
- 최소한의 데이터 생성/조회 확인이 가능하다.
- 스키마 변경 사항이 docs/02-architecture.md에 반영되어 있다."
"인증 기초 - 회원가입과 로그인 최소 흐름 구현","Type: Feature
Size: M

Outcome:
사용자별 기록 분리를 위해 최소 인증 흐름을 구현한다.

Tasks:
- 회원가입 API 구현
- 로그인 API 구현
- 비밀번호 해시 처리
- 현재 사용자 확인 API 구현
- 프론트엔드에서 로그인 상태 저장 방식 결정
- 인증 실패 응답 처리

Definition of Done:
- 사용자가 회원가입할 수 있다.
- 사용자가 로그인할 수 있다.
- 로그인 후 내 정보 확인이 가능하다.
- 인증이 필요한 API에서 미로그인 요청이 차단된다."
"회고 글 CRUD API - ReflectionEntry 기본 API 구현","Type: Feature
Size: M

Outcome:
회고/트러블슈팅 글을 API로 생성, 조회, 수정, 삭제할 수 있다.

Tasks:
- 글 생성 API 구현
- 글 목록 API 구현
- 글 상세 API 구현
- 글 수정 API 구현
- 글 삭제 API 구현
- 글 타입 필드 추가: daily, trouble, decision, team_issue
- 작성자 권한 검증 추가

Definition of Done:
- 로그인한 사용자가 글을 생성할 수 있다.
- 사용자는 자신의 글 목록과 상세를 조회할 수 있다.
- 작성자만 수정/삭제할 수 있다.
- API 응답 형식이 docs/03-api-reference.md에 반영되어 있다."
"프론트엔드 기본 화면 - 글 목록/작성/상세 흐름 연결","Type: Feature
Size: M

Outcome:
사용자가 화면에서 회고/트러블슈팅 글을 작성하고 다시 조회할 수 있다.

Tasks:
- 로그인 화면 또는 임시 인증 진입 흐름 구성
- 글 목록 화면 구현
- 글 작성 화면 구현
- 글 상세 화면 구현
- 글 수정/삭제 진입 흐름 구현
- API 연동
- 기본 에러/로딩 상태 처리

Definition of Done:
- 화면에서 글 작성이 가능하다.
- 작성한 글이 목록에 표시된다.
- 글 상세 화면에서 내용을 확인할 수 있다.
- 기본 수정/삭제 흐름이 동작한다."
"게시판 기본 기능 - 태그, 검색, 페이징 최소 구현","Type: Feature
Size: M

Outcome:
과제 필수 게시판 기능 중 태그, 검색, 페이징을 최소 수준으로 동작시킨다.

Tasks:
- 글 작성 시 태그 입력 지원
- 목록에서 태그 표시
- 제목/본문 기준 검색 API 구현
- 태그 기준 필터 구현
- 목록 페이징 구현
- 프론트엔드 검색/태그/페이지 UI 연결

Definition of Done:
- 사용자가 글에 태그를 붙일 수 있다.
- 검색어로 글 목록을 필터링할 수 있다.
- 태그로 글 목록을 필터링할 수 있다.
- 페이지 단위 목록 조회가 가능하다."
"댓글 기능 - 회고 상세의 댓글 작성/조회 구현","Type: Feature
Size: S

Outcome:
회고 글 상세에서 간단한 댓글을 남기고 조회할 수 있다.

Tasks:
- 댓글 생성 API 구현
- 댓글 목록 API 구현
- 댓글 수정/삭제 API 구현 여부 결정
- 상세 화면에 댓글 목록 표시
- 상세 화면에서 댓글 작성 연결

Definition of Done:
- 로그인한 사용자가 댓글을 작성할 수 있다.
- 글 상세에서 댓글 목록을 볼 수 있다.
- 댓글 작성 실패 시 사용자에게 에러가 표시된다."
